ANACOLUTOS	 1. m. Gram. Inconsecuencia en la construcción del discurso.
Marinovio	1. m. y f. coloq. Cuba. Persona con quien se mantiene una relación amorosa y sexual estable sin casarse. En Ven., u. solo el m. 2. m. pl. El Salv. Novios que viven como marido y mujer.
Meteco	1. adj. despect. extranjero. U. m. c. s. 2. m. y f. En la antigua Grecia, extranjero que se establecía en Atenas y que no gozaba de los derechos de ciudadanía. U. t. c. adj.
Mor	 por mor de 1. loc. prepos. cult. Por causa de.
Opúsculos	 1. m. Obra científica o literaria de poca extensión.
Panderetas	 1. m. y f. C. Rica. Persona excesivamente religiosa.
Picio	 Excesivamente fea.
RUIBARBO	1. m. Planta herbácea, vivaz, de la familia de las poligonáceas, con hojas radicales, grandes, pecioladas, de borde dentado y sinuoso, ásperas por encima, nervudas y vellosas por debajo, y flores amarillas o verdes, pequeñas, en espigas, sobre un escapo fistuloso y esquinado. Mide de uno a dos metros de altura, tiene fruto seco, de una sola semilla triangular, y rizoma pardo por fuera, rojizo con puntos blancos en lo interior, compacto y de sabor amargo. Vive en el Asia central y la raíz se usa mucho en medicina como purgante.
Reamar	 1. tr. Amar mucho. 2. tr. desus. Corresponder al amor.
Redaño	 1. m. Anat. mesenterio. 2. m. pl. Fuerzas, bríos, valor.
Resopón	1. m. Esp. Segunda cena, más ligera, que se hace generalmente tras una fiesta o cuando pasa mucho tiempo entre la cena y la hora de acostarse.
Susurrido	 1. m. Ruido suave que hacen algunas cosas naturales.
Trasbarrás	 1. m. Ruido que produce algo al caer.
Turulo	 tonta (‖ falta de entendimiento o de razón). 2. m. Nic. cosa (‖ objeto inanimado).
Velicomen	 1. m. p. us. Copa grande para brindar.
Zopa	 Que tiene torcidos o contrahechos los pies o las manos.
ab	Versión electrónica 23.4 del «Diccionario de la lengua española», obra lexicográfica académica por excelencia.
acarnienses	Versión electrónica 23.4 del «Diccionario de la lengua española», obra lexicográfica académica por excelencia.
adarce	 1. m. Costra salina que las aguas del mar forman en los objetos que mojan.
aféresis	 1. f. Fon. Supresión de algún sonido al principio de un vocablo, como en norabuena por enhorabuena.
agible	 1. adj. Factible o hacedero.
agibílibus	 1. m. coloq. Habilidad, ingenio, a veces pícaro, para desenvolverse en la vida. 2. m. coloq. Persona que tiene agibílibus.
alacridad	 1. f. Alegría y presteza del ánimo para hacer algo.
aladares	 1. m. Mechón de pelo que cae sobre cada una de las sienes. U. m. en pl.
alipori	 1. m. coloq. vergüenza ajena.
apero	1. m. Conjunto de instrumentos y demás cosas necesarias para la labranza. U. m. en pl. 2. m. Instrumento que se emplea en la labranza. 3. m. Conjunto de animales destinados en una hacienda a las faenas agrícolas. U. m. en pl.
apócope	 1. f. Fon. Supresión de algún sonido al final de un vocablo, como en primer por primero.
arrebol	1. m. poét. Color rojo, especialmente el de las nubes iluminadas por los rayos del sol o el del rostro. 2. m. colorete (‖ cosmético). 3. m. pl. arrebolada.
autolisis	 1. f. suicidio (‖ acción de suicidarse). 2. f. Biol. Degradación de las células por sus propias enzimas.
belonefobia	Versión electrónica 23.4 del «Diccionario de la lengua española», obra lexicográfica académica por excelencia.
bojs	Versión electrónica 23.4 del «Diccionario de la lengua española», obra lexicográfica académica por excelencia.
borde	1. m. Extremo u orilla de algo. 2. m. En una vasija, orilla o labio que tiene alrededor de la boca. 3. m. Mar. borda (‖ canto superior del costado de un buque).
bucán	Versión electrónica 23.4 del «Diccionario de la lengua española», obra lexicográfica académica por excelencia.
carne	1. f. Parte muscular del cuerpo humano o animal. 2. f. carne comestible de vaca, ternera, cerdo, carnero, etc., y muy señaladamente la que se vende para el abasto común del pueblo.
cebollo	Versión electrónica 23.4 del «Diccionario de la lengua española», obra lexicográfica académica por excelencia.
cerril	 Que se obstina en una actitud o parecer, sin admitir trato ni razonamiento.
cherchar	 1. intr. Burlar, bromear.
chori	 1. m. y f. vulg. Ratero, ladronzuelo.
chulérrimos	Versión electrónica 23.4 del «Diccionario de la lengua española», obra lexicográfica académica por excelencia.
congrua	 V. congruo.
corzos	1. m. y f. Mamífero rumiante de la familia de los cérvidos, algo mayor que la cabra, rabón y de color gris rojizo, que tiene las cuernas pequeñas, verrugosas y ahorquilladas hacia la punta. U. en m. ref. a la especie.
cuspidor	Versión electrónica 23.4 del «Diccionario de la lengua española», obra lexicográfica académica por excelencia.
desternillaba	 1. prnl. Romperse las ternillas. 2. prnl. Reírse mucho, sin poder contenerse.
dintel	1. m. Pieza horizontal superior de puertas, ventanas y otros huecos, apoyada en sus extremos sobre las jambas y destinada a soportar cargas.
emético	 1. adj. Med. vomitivo (‖ que provoca el vómito). Apl. a medicamento u otro producto, u. t. c. s. m. tártaro emético
enteco	 1. adj. Enfermizo, débil, flaco.
escrucar	 1. tr. Bad. Revolver la comida en el plato.
fardar	1. tr. Surtir y abastecer a alguien, especialmente de ropa y vestidos. U. t. c. prnl. 2. intr. coloq. Esp. Presumir, jactarse, alardear. 3. intr. coloq. Esp. Servir para alardear, por lo vistoso o aparente. Ese coche farda mucho.
fetén	1. adj. Bueno, estupendo, excelente. Conocí a una chica fetén. 2. adj. coloq. Sincero, auténtico, verdadero, evidente. 3. f. coloq. La verdad. La fetén.
frangir	 1. tr. Partir o dividir algo en pedazos.
fruitivos	 1. adj. Propio para causar placer con su posesión.
gleba	1. f. Terrón que se levanta con el arado. 2. f. Tierra de cultivo. 3. f. Gente del pueblo bajo. 4. f. Hues. Terreno cubierto de césped. siervo de la gleba
gosipino	 Que tiene algodón o se parece a él.
hipar	 Resollar cuando va siguiendo la caza. 3. intr. Fatigarse por el exceso de trabajo o angustiarse mucho.
horrísona	 1. adj. Que con su sonido causa horror y espanto.
hortera	1. adj. despect. coloq. Vulgar y de mal gusto. Apl. a pers., u. t. c. s. 2. f. Escudilla o cazuela de palo. 3. m. En Madrid, apodo del mancebo de ciertas tiendas de mercader.
inconcuso	 1. adj. Firme, sin duda ni contradicción.
indinar	 1. tr. vulg. indignar. U. t. c. prnl.
lipograma	 1. m. Texto en el que, por artificio literario, se omiten deliberadamente una determinada letra o un grupo de letras.
límpido	 1. adj. poét. Limpio, terso, puro, sin mancha.
noctívago	 1. adj. poét. noctámbulo (‖ que anda vagando). Apl. a pers., u. t. c. s.
nártex	 1. m. Arq. Atrio o vestíbulo situado a la entrada de las iglesias paleocristianas y bizantinas.
paleto	 Rústica y sin habilidad para desenvolverse en ambientes urbanos. U. m. c. s.
paroxismo	1. m. Exaltación extrema de los afectos y pasiones. 2. m. Med. Exacerbación de una enfermedad. 3. m. Med. Accidente peligroso o casi mortal, en que el paciente pierde el sentido y la acción por largo tiempo.
percebe	1. m. Crustáceo cirrópodo, que tiene un caparazón compuesto de cinco piezas y un pedúnculo carnoso con el cual se adhiere a los peñascos de las costas. Se cría formando grupos y es comestible.
perífrasis	1. f. Gram. Expresión pluriverbal cuyo significado se asimila parcialmente al de una unidad léxica. La perífrasis echar una conversada se asimila al verbo conversar.
postigo	1. m. Puerta falsa que ordinariamente está colocada en sitio excusado de la casa. 2. m. Puerta que está fabricada en una pieza sin tener división ni más de una hoja, la cual se asegura con llave, cerrojo, picaporte, etc.
preuvas	Versión electrónica 23.4 del «Diccionario de la lengua española», obra lexicográfica académica por excelencia.
rabadilla	1. f. Punta o extremidad de la columna vertebral, formada por la última pieza del hueso sacro y por todas las del coxis. 2. f. En las aves, extremidad movible en donde están las plumas de la cola.
rataplán	1. onomat. U. para imitar el sonido del tambor. 2. m. En los diarios, resumen en primera página de una noticia que se publica en el interior.
rebusque	1. m. Arg., Col., Nic. y Ur. Solución ocasional e ingeniosa con que se resuelve una dificultad. 2. m. Arg., Nic., Par., Ur. y Ven. Acción y efecto de rebuscársela.
refajo	1. m. Falda exterior con vuelo, por lo general de bayeta o paño, usada por las mujeres encima de las enaguas y que forma parte de algunos trajes regionales femeninos.
resollar	 Absorber y expeler el aire por sus órganos respiratorios. 2. intr. Salir o aliviarse del trabajo o de la opresión.
retorta	1. f. Vasija con cuello largo encorvado, a propósito para diversas operaciones químicas. 2. f. Tela de hilo entrefina y de gran resistencia, con la trama y urdimbre muy retorcidas.
roma	Entradas que contienen la forma «roma» | Diccionario de la lengua española | RAE - ASALE
rugbista	 1. m. y f. Chile, Ur. y Ven. Jugador de rugby.
rusiente	 1. adj. Que se pone rojo o candente con el fuego.
sacomano	1. m. saqueo. 2. m. desus. Salteador de caminos. 3. m. desus. Soldado dedicado a forrajear. entrar, o meter, a sacomano 1. locs. verbs. saquear.
sicofanta	 1. m. Impostor, calumniador.
sisear	1. intr. Emitir repetidamente el sonido inarticulado de s y ch, por lo común para manifestar desaprobación o desagrado, o para pedir silencio. U. t. c. tr. Sisear una escena, a un orador.
solivianta	1. tr. Mover el ánimo de alguien para inducirle a adoptar alguna actitud rebelde u hostil. U. t. c. prnl. 2. tr. Inquietar o alterar a alguien.
soto	1. m. Sitio que en las riberas o vegas está poblado de árboles y arbustos. 2. m. Sitio poblado de árboles y arbustos. 3. m. Sitio poblado de malezas, matas y árboles.
termopolio	Versión electrónica 23.4 del «Diccionario de la lengua española», obra lexicográfica académica por excelencia.
titar	 Graznar para llamar a la manada.
titulitis	 1. f. despect. coloq. Valoración desmesurada de los títulos y certificados de estudios como garantía de los conocimientos de alguien.
traspillar	 1. tr. traspellar. 2. prnl. Desfallecer, extenuarse.
tutiplén	 a tutiplén 1. loc. adv. coloq. En abundancia, a porrillo.
tutía	1. f. atutía. no hay tutía   1. expr. coloq. U. para dar a entender a alguien que no debe tener esperanza de conseguir lo que desea o de evitar lo que teme.
vigoréxico	 Que padece vigorexia. Un atleta vigoréxico. U. t. c. s.
zopo	 Que tiene torcidos o contrahechos los pies o las manos.
zote	 1. adj. Ignorante, torpe y muy tardo en aprender. U. t. c. s.
zurear	 Hacer arrullos.
hiperbólico	1. adj. Perteneciente o relativo a la hipérbole. 2. adj. Que encierra o incluye una hipérbole. 3. adj. Geom. Perteneciente o relativo a la hipérbola.
hipérbola	 1. f. Geom. Lugar geométrico de los puntos del plano cuya diferencia de distancias a otros dos fijos, llamados focos, es constante.
naco	1. m. Arg., Par., P. Rico y Ur. Andullo de tabaco. 2. m. Col. Puré de papas. 3. m. coloq. Ur. susto (‖ impresión repentina). 4. m. coloq. Ur. Excremento sólido, especialmente el humano.
acecho	1. m. Acción de acechar. 2. m. p. us. Lugar desde el cual se acecha. al, de, o en, acecho 1. locs. advs. Observando y mirando a escondidas y con cuidado.
Pochoclo	Versión electrónica 23.4 del «Diccionario de la lengua española», obra lexicográfica académica por excelencia.
pururú	Versión electrónica 23.4 del «Diccionario de la lengua española», obra lexicográfica académica por excelencia.
Poroto	1. m. Arg., Bol., Chile, Ec., Par., Perú y Ur. judía (‖ planta). 2. m. Arg., Bol., Chile, Ec., Par., Perú y Ur. judía (‖ semilla). 3. m. Bol., Col., Ec., Par., Perú y Ur. Guiso que se hace con porotos.
cutre	1. adj. coloq. Tacaño, miserable. U. t. c. s. 2. adj. coloq. Pobre, descuidado, sucio o de mala calidad. Un bar, una calle, una ropa cutre.
hipoxemia	Versión electrónica 23.4 del «Diccionario de la lengua española», obra lexicográfica académica por excelencia.
carillón	1. m. Grupo de campanas en una torre, que producen un sonido armónico por estar acordadas. 2. m. Juego de tubos o planchas de acero que producen un sonido musical.
mago	1. m. y f. Persona que practica la magia. 2. m. y f. Persona singularmente capacitada para el éxito en una actividad determinada. Es un mago de las finanzas.
hispania	Versión electrónica 23.4 del «Diccionario de la lengua española», obra lexicográfica académica por excelencia.
daman	Versión electrónica 23.4 del «Diccionario de la lengua española», obra lexicográfica académica por excelencia.
polipo	Versión electrónica 23.4 del «Diccionario de la lengua española», obra lexicográfica académica por excelencia.
pólipo	1. m. Med. Tumor de estructura diversa, generalmente pediculado, que se forma y crece en las membranas mucosas de diferentes cavidades, como la nariz, el colon y, en la mujer, la vagina y la matriz.
misericordia	1. f. Virtud que inclina el ánimo a compadecerse de los sufrimientos y miserias ajenos. 2. f. Pieza en los asientos de los coros de las iglesias para descansar disimuladamente, medio sentado sobre ella, cuando se debe estar en pie.
Carámbano	1. m. Pedazo de hielo más o menos largo y puntiagudo. 2. m. Nic. carao. estar hecho, cha un carámbano 1. loc. verb. coloq. Tener mucho frío.
esmorecido	 1. adj. Ext. Aterido de frío.
aterido	 1. tr. Pasmar de frío. U. m. c. prnl.
pasmar	1. tr. Enfriar mucho o bruscamente. U. t. c. prnl. 2. tr. Helar las plantas en tanto grado, que se quedan secas y abrasadas. U. t. c. prnl.
cino	Versión electrónica 23.4 del «Diccionario de la lengua española», obra lexicográfica académica por excelencia.
bombátido	Versión electrónica 23.4 del «Diccionario de la lengua española», obra lexicográfica académica por excelencia.
elefante	1. m. y f. Mamífero del orden de los proboscidios, el mayor de los animales terrestres, con cabeza y ojos pequeños, orejas grandes y colgantes, nariz y labio superior unidos y muy prolongados en forma de trompa prensil, y dos dientes incisivos, macizos y muy grandes, vulgarmente llamados colmillos, que vive en Asia y África. U. en m. ref. a la especie.
proboscidios	 Que tiene trompa prensil formada por la soldadura de la nariz con el labio superior, y cinco dedos en las extremidades, terminado cada uno de ellos en una pequeña pezuña y englobados en una masa carnosa; p. ej., el elefante. U. t. c. s. m., en pl. como taxón.
prensil	 1. adj. Que sirve para asir o coger. Cola, trompa prensil.
trompa	1. f. Instrumento musical de viento, consistente en un tubo de latón enroscado circularmente que va ensanchándose desde la boquilla al pabellón, cuyo sonido se modifica por medio de pistones y antiguamente introduciendo la mano en el pabellón.
úrsido	 Del grupo de los carnívoros plantígrados, de gran tamaño y pelaje espeso, cuerpo robusto, cabeza ancha, ojos pequeños y extremidades fuertes con cinco dedos de uñas no retráctiles; p. ej., el oso pardo o el oso polar. U. t. c. s. m., en pl. como taxón.
marsupial	 Que tiene crías que nacen en estado de gestación poco avanzada y son incubadas generalmente en la bolsa ventral de la hembra, donde están las mamas; p. ej., el canguro de Australia o la zarigüeya de América. U. t. c. s. m., en pl. como taxón.
zarigüeya	 1. f. Mamífero marsupial americano, trepador, de aspecto parecido a la rata, de hocico alargado, pelaje gris y cola prensil.
AMPO	 1. m. Blancura resplandeciente. 2. m. Copo de nieve. U. m. en pl.
Caputbovense	Versión electrónica 23.4 del «Diccionario de la lengua española», obra lexicográfica académica por excelencia.
Chionofobia	Versión electrónica 23.4 del «Diccionario de la lengua española», obra lexicográfica académica por excelencia.
EPÓNIMOS	 Que tiene un nombre con el que se pasa a denominar una ciudad, una enfermedad, un concepto, etc. U. m. c. s. m. El doctor Alois Alzheimer es el epónimo de la enfermedad que lleva su apellido.
Ermita	 1. f. Capilla o santuario, generalmente pequeños, situados por lo común en despoblado y que no suelen tener culto permanente.
Estentóreo	 Muy fuerte, ruidoso o retumbante.
Pulpejo	1. m. Parte carnosa y mollar de un miembro pequeño del cuerpo humano, y, más comúnmente, parte de la palma de la mano de la que sale el dedo pulgar.
Terebeco	 Que tiene temblor en alguna parte del cuerpo por frío o por miedo.
Titiritear	 Dominar y controlar la forma de actuar de otra. 2. intr. El Salv. Tiritar de frío.
Trisca	 1. f. Ruido que se hace con los pies en una cosa que se quebranta. 2. f. Bulla, algazara o estruendo.
VEXILOLOGÍA	 1. f. Disciplina que estudia las banderas, pendones y estandartes.
Verdín	1. m. Color verde de la hierba o de las plantas, especialmente cuando están recién brotadas. 2. m. Capa verde de plantas como hongos, líquenes o musgos, que se forma en algunas aguas, especialmente en las estancadas, y en lugares húmedos.
abadesa	 V. abad.
amblan	 Andar moviendo a un tiempo el pie y la mano de un mismo lado. 2. intr. desus. Mover lúbricamente el cuerpo.
analepsis	 1. f. Ret. Pasaje de una obra literaria que trae una escena del pasado rompiendo la secuencia cronológica.
castañeta	1. f. castañuela (‖ instrumento musical). 2. f. Sonido que resulta de juntar la yema del dedo de en medio con la del pulgar, y hacerla resbalar con fuerza y rapidez para que choque en el pulpejo.
contrapariente	 1. adj. Pariente de parientes. U. m. c. s.
delicuescente	 Que tiene la propiedad de absorber la humedad del aire hasta formar una disolución acuosa.
dígrafo	 1. m. Ling. Secuencia de dos letras que representa un solo sonido; p. ej., en español ll, en francés ou, en catalán ny.
gacheta	1. f. engrudo. 1. f. Palanca pequeña que, oprimida por un resorte, sujeta en su posición el pestillo de algunas cerraduras, encajándose en él por medio de dientes y muescas.
gafada	Entradas que contienen la forma «gafada» | Diccionario de la lengua española | RAE - ASALE
gallicinio	Versión electrónica 23.4 del «Diccionario de la lengua española», obra lexicográfica académica por excelencia.
ginefobia	 1. f. Fobia a las mujeres.
insertos	1. adj. Que está insertado. 2. m. Cinem. Rótulo entre dos encuadres o superpuesto a uno, que, en forma legible, explica al espectador la localización o cualquier otro detalle de la escena, página de un periódico, una carta, etc.
josa	 1. f. Heredad plantada de vides y árboles frutales.
majunche	 1. adj. coloq. Ven. De calidad inferior, deslucido, mediocre.
miranda	 1. f. Paraje alto desde el cual se descubre gran extensión de terreno. de miranda 1. loc. adv. coloq. Sin hacer nada debiendo trabajar.
pangrama	Versión electrónica 23.4 del «Diccionario de la lengua española», obra lexicográfica académica por excelencia.
pichirre	 1. adj. coloq. Ven. tacaño (‖ que escatima en el gasto).
purrela	 1. f. Vino último e inferior de los que se llaman aguapié. 2. f. coloq. Cosa despreciable, de mala calidad, de poco valor.
singulto	 1. m. sollozo. 2. m. Med. hipo (‖ movimiento convulsivo).
tontolaba	Versión electrónica 23.4 del «Diccionario de la lengua española», obra lexicográfica académica por excelencia.
undívago	 1. adj. poét. Que ondea o se mueve como las olas.
valetudinarios	 Enfermizo, delicado, de salud quebrada. U. t. c. s.
aguapié	 1. m. Vino de baja calidad que se elaboraba echando agua en el orujo pisado y apurado en el lagar. 2. m. agua de pie.
capirote	 Que tiene la cabeza de distinto color que el cuerpo. 2. m. Cucurucho de cartón cubierto de tela que usan los penitentes en las procesiones de Semana Santa.
ojo	1. m. Órgano de la vista en el ser humano y en los animales. 2. m. Parte visible del ojo en la cara. 3. m. Agujero que tiene la aguja para que entre el hilo.
palabra	1. f. Unidad lingüística, dotada generalmente de significado, que se separa de las demás mediante pausas potenciales en la pronunciación y blancos en la escritura.
cucurucho	1. m. Papel, cartón, barquillo, etc., arrollado en forma cónica, empleado para contener dulces, confites, helados, cosas menudas, etc. U. t. en sent. fig.
gripa	 1. f. Col. y Méx. gripe.
gripe	 1. f. Enfermedad epidémica aguda, acompañada de fiebre y con manifestaciones variadas, especialmente catarrales.
percebes	1. m. Crustáceo cirrópodo, que tiene un caparazón compuesto de cinco piezas y un pedúnculo carnoso con el cual se adhiere a los peñascos de las costas. Se cría formando grupos y es comestible.
cirrópodo	 Que tiene el cuerpo rodeado de un caparazón compuesto de varias placas calcáreas, entre las cuales puede sacar los cirros, es hermafrodita, y libre y nadador mientras es larva, pero en estado adulto vive fijo sobre los objetos sumergidos, por lo común mediante un pedúnculo, siendo parásito en algunas especies; p. ej., el percebe o la bellota de mar. U. t. c. s. m., en pl. como taxón.
pedúnculo	1. m. Bot. Pezón de la hoja, flor o fruto. 2. m. Zool. Prolongación del cuerpo, mediante la cual están fijos al suelo algunos animales de vida sedentaria, como los percebes.
chirriar	 Hacer un ruido agudo, continuado y desagradable, generalmente al rozar con otra cosa. La puerta, los frenos chirrían.
perro	1. m. y f. Mamífero doméstico de la familia de los cánidos, de tamaño, forma y pelaje muy diversos, según las razas, que tiene olfato muy fino y es inteligente y muy leal a su dueño. U. en m. ref. a la especie.
lardo	 1. m. Parte gorda del tocino. 2. m. Grasa o unto de los animales.
pringar	1. tr. Empapar con pringue el pan u otro alimento. 2. tr. Estrujar con pan algún alimento pringoso. 3. tr. Echar a alguien pringue hirviendo, castigo usado antiguamente.
unto	1. m. Materia pingüe a propósito para untar. 2. m. Crasitud o gordura interior del cuerpo del animal. 3. m. Aquello que sirve para untar. U. m. en sent. fig.
pingüe	 1. adj. Craso, gordo, mantecoso. 2. adj. Abundante, copioso, fértil.
Crasitud	 1. f. gordura (‖ tejido adiposo).
craso	 1. adj. indisculpable. Craso error. Ignorancia crasa. 2. adj. Graso, untuoso. 3. adj. p. us. Grueso, gordo. 4. m. crasitud. brea crasa
brea	1. f. Sustancia viscosa de color rojo oscuro que se obtiene haciendo destilar al fuego la madera de varios árboles de la clase de las coníferas, y que se emplea en medicina como pectoral y antiséptico.
antiséptico	 1. adj. Med. Que sirve para la antisepsia. Apl. a un medicamento o a una sustancia, u. t. c. s. m.
tacaño	1. adj. Que escatima excesivamente en el gasto. Apl. a pers., u. t. c. s. 2. adj. desus. Astuto, pícaro, bellaco, y que engaña con sus ardides y embustes. Era u. t. c. s.
payaso	 Ambulante y que debuta en las mojigangas enmascarado.
mojigangas	1. f. Obra teatral muy breve, de carácter cómico, en la que participan figuras ridículas y extravagantes, y que antiguamente se representaba en los entreactos o al finalizar el tercer acto de las comedias.
vino	1. m. Bebida alcohólica que se hace del zumo de las uvas exprimido y fermentado naturalmente. 2. m. Zumo fermentado de plantas o frutos distintos de la uva. Vino de arroz, vino de palma.
adventicio	 Que se desarrolla en lugar distinto del habitual.
cepo	1. m. Instrumento hecho de dos maderos gruesos, que unidos forman en el medio unos agujeros redondos, en los cuales se aseguraba la garganta o la pierna del reo, juntando los maderos.
capicúa	1. m. Número que es igual leído de izquierda a derecha que de derecha a izquierda; p. ej., el 1331. U. t. c. adj. 2. m. Billete, boleto, etc., cuyo número es capicúa. U. t. c. adj.
torticero	 1. adj. Injusto, o que no se arregla a las leyes o a la razón. enriquecimiento torticero
bibliomanía	 1. f. Propensión exagerada a acumular libros.
bebé	 1. m. Niño o niña recién nacido o de muy corta edad.
fraude	1. m. Acción contraria a la verdad y a la rectitud, que perjudica a la persona contra quien se comete. 2. m. Acto tendente a eludir una disposición legal en perjuicio del Estado o de terceros.
ya	1. adv. En tiempo u ocasión pasados. Ya hemos hablado de esto más de una vez. 2. adv. Inmediatamente, ahora mismo. U. t. en sent. enfático. Aumento de salarios, ya.
madrastra	1. f. Mujer del padre de una persona nacida de una unión anterior de este. 2. f. Madre que trata mal a sus hijos. U. t. en sent. fig. La naturaleza es madrastra de los hombres.
vilo	 en vilo 1. loc. adv. Sin el apoyo físico necesario o sin estabilidad. 2. loc. adv. Con indecisión, inquietud y zozobra.
zozobra	1. f. Acción y efecto de zozobrar. 2. f. Inquietud, aflicción y congoja del ánimo, que no deja sosegar, o por el riesgo que amenaza, o por el mal que ya se padece.
anteo	Versión electrónica 23.4 del «Diccionario de la lengua española», obra lexicográfica académica por excelencia.
metáfora	1. f. Ret. Traslación del sentido recto de una voz a otro figurado, en virtud de una comparación tácita, como en las perlas del rocío, la primavera de la vida o refrenar las pasiones.
tácita	 Que no se expresa, pero se sobrentiende. La oración Estudias en la biblioteca tiene sujeto tácito.
perfil	1. m. Postura en que no se deja ver sino una sola de las dos mitades laterales del cuerpo. 2. m. Contorno de la figura de algo o de alguien.
testaferro	 1. m. y f. Persona que presta su nombre en un contrato, pretensión o negocio que en realidad es de otra persona.
inédito	 Que aún no ha publicado nada. 3. adj. Desconocido, nuevo.
nada	1. f. Inexistencia total o carencia absoluta de todo ser. Existen muchas interpretaciones de la nada entre los filósofos. Era u. menos c. m.
REBAÑAR	 1. tr. Juntar y recoger algo sin dejar nada. 2. tr. Recoger de un plato o vasija, para comerlos, los residuos de algo hasta apurarlo.
pisagua	Versión electrónica 23.4 del «Diccionario de la lengua española», obra lexicográfica académica por excelencia.
piragua	1. f. Embarcación larga y estrecha, mayor que la canoa, hecha generalmente de una pieza o con bordas de tabla o cañas. Navega a remo y vela, y la usan los indios de América y Oceanía.
pebetero	1. m. Recipiente para quemar perfumes y especialmente el que tiene cubierta agujereada. 2. m. Recipiente en el que arde una llama ceremonial.
balacado	Versión electrónica 23.4 del «Diccionario de la lengua española», obra lexicográfica académica por excelencia.
bacalao	1. m. Pez teleósteo, anacanto, de cuerpo simétrico, con tres aletas dorsales y dos anales, y una barbilla en la sínfisis de la mandíbula inferior.
anacanto	 Del grupo de los teleósteos con aletas de radios blandos y flexibles y de las cuales las abdominales están situadas debajo de las pectorales o delante de ellas; p. ej., la merluza, el bacalao o el lenguado. U. t. c. s. m., y era u. en pl. como taxón.
mariachi	1. m. Música y baile populares mexicanos procedentes del estado de Jalisco. 2. m. Orquesta popular mexicana que interpreta mariachis. 3. m. Cada uno de los componentes de un mariachi.
zotaco	Versión electrónica 23.4 del «Diccionario de la lengua española», obra lexicográfica académica por excelencia.
sotaco	Versión electrónica 23.4 del «Diccionario de la lengua española», obra lexicográfica académica por excelencia.
padecer	1. tr. Sentir física y corporalmente un daño, dolor, enfermedad, pena o castigo. U. t. c. intr. 2. tr. Soportar agravios, injurias, pesares, etc. U. t. c. intr.
radio	1. m. Geom. Segmento lineal que une un punto cualquiera de la circunferencia o de la superficie de una esfera con su centro. 2. m. Rayo de la rueda.
rueda	1. f. Pieza mecánica en forma de disco que gira alrededor de un eje. 2. f. Círculo o corro de personas o cosas. 3. f. signo rodado. 4. f. pez luna.
gato	1. m. y f. Mamífero carnívoro de la familia de los félidos, digitígrado, doméstico, de unos 50 cm de largo desde la cabeza hasta el arranque de la cola, que por sí sola mide unos 20 cm, de cabeza redonda, lengua muy áspera, patas cortas y pelaje espeso, suave, de color blanco, gris, pardo, rojizo o negro, que se empleaba en algunos lugares para cazar ratones. U. en m. ref. a la especie.
capilla	1. f. Edificio contiguo a una iglesia o parte integrante de ella, con altar y advocación particular. 2. f. Oratorio privado. 3. f. Oratorio portátil de los regimientos y otros cuerpos militares.
mucho	1. adj. indef. Numeroso, abundante o intenso. Muchos niños. Su mucho dinero. Mucha alegría. 2. adj. indef. Que excede a lo ordinario, regular o preciso. U. a menudo con un complemento introducido por la preposición para que expresa una base de comparación. Mucho trabajo para tan poco tiempo.
genio	1. m. Índole o condición según la cual obra alguien comúnmente. Es de genio apacible. 2. m. Disposición ocasional del ánimo por la cual este se manifiesta alegre, áspero o desabrido.
capa	1. f. Prenda de vestir larga y suelta, sin mangas, abierta por delante, que se lleva sobre los hombros encima del vestido. 2. f. Aquello que cubre o baña alguna cosa. Una capa de nieve, de pintura, de azúcar.
INMAMABLE	Versión electrónica 23.4 del «Diccionario de la lengua española», obra lexicográfica académica por excelencia.
erre	1. f. Letra r o dígrafo rr, y sonidos que representan. erre doble, o doble erre 1. f. Dígrafo rr. erre que erre  1. loc. adv. coloq. Porfiadamente, tercamente. estar erre alguien 1. loc. verb. desus. Mantenerse firme en un propósito.
Dígrafo	 1. m. Ling. Secuencia de dos letras que representa un solo sonido; p. ej., en español ll, en francés ou, en catalán ny.
cristo	1. m. En la doctrina cristiana, el Hijo de Dios, hecho hombre. Jesús, el Cristo. 2. m. Imagen o representación del Cristo. 3. m. crucifijo.
crucifijo	 1. m. Efigie o imagen de Cristo crucificado.
efigie	 1. f. Imagen o representación de una persona. 2. f. p. us. Personificación, representación viva de un sentimiento. La efigie del dolor.
ecúmene	 1. f. Comunidad humana que habita una porción extensa de la Tierra.
Autoantónimo	Versión electrónica 23.4 del «Diccionario de la lengua española», obra lexicográfica académica por excelencia.
antónimo	 Que, respecto de otra, expresa una idea opuesta o contraria, como virtud y vicio, claro y oscuro o antes y después. U. t. c. s. m.
vicio	1. m. Mala calidad, defecto o daño físico en las cosas. 2. m. Falta de rectitud o defecto moral en las acciones. 3. m. Falsedad, yerro o engaño en lo que se escribe o se propone. Vicios de obrepción y subrepción.
yerro	1. m. Falta o delito cometido, por ignorancia o malicia, contra los preceptos y reglas de un arte, y absolutamente, contra las leyes divinas y humanas.
calderón	1. m. Cetáceo de hasta cinco metros de longitud, de cabeza voluminosa, casi globosa, y de aletas pectorales estrechas y largas. Es de color blanquecino por debajo y negro por encima, suele ir en bandadas y se alimenta principalmente de calamares.
